Name,Salary,DOJ,Age,Gender,Dependents,HA,COLA,CPF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
dCOCNKNs,122922.12,5/2/2016,60,Male,2,8602.788,29010.81664233576,18231.95239708029,142303.77224525547,Life,Married,8,39,Human Resources,HR Director
zwgbfJoT,55558.96,3/2/2022,26,Male,0,6684.103999999999,13112.455279805348,8240.569833576641,67114.94944622871,Life,Single,2,5,Marketing,Marketing Associate
QKRjDmTM,84134.35,2/21/2014,32,Other,4,7401.564999999999,19856.52542579075,12478.905051094893,98913.53537469589,None,Married,10,11,Human Resources,Senior HR
ZMuTaJtW,83630.6,11/8/2011,44,Male,3,8829.939999999999,19737.63552311435,12404.188262773723,99793.98726034064,None,Divorced,12,23,Human Resources,Senior HR
DCfFvCDR,98829.81,11/5/2017,33,Female,2,4405.019,23324.79700729926,14658.552840875913,111901.07316642336,Both,Married,6,12,Finance,Regional Account Head
sNCcUdkQ,112708.71,2/28/2018,53,Other,4,13146.129,26600.35248175182,16717.087497810222,135738.1039839416,Both,Married,6,32,Finance,National Account Head
ObvyNloy,68752.41,8/15/2017,31,Male,1,8812.758999999998,16226.237883211676,10197.437745985402,83593.96913722628,Life,Married,6,10,Sales,Sales Representative
AULkelbF,101596.49,8/28/2018,32,Male,2,11938.351,23977.76041,15068.910049635037,122443.69136399026,Both,Divorced,5,11,Sales,Regional Sales Manager
BBbTeOkS,144593,12/16/2015,47,Female,1,7890.699999999999,34125.35523114354,21446.202627737224,165162.85260340633,Medical,Married,8,26,Sales,National Sales Manager
mJWBCPOD,93540.06,2/10/2009,41,Female,2,5648.994000000001,22076.36452554744,13873.970943065691,107391.44758248176,Life,Married,15,20,Marketing,Regional Marketing Manager
DrLaHPaK,108407.41,9/11/2023,38,Other,3,13034.258999999998,25585.203819951334,16079.11365839416,130947.75916155716,None,Married,0,17,IT,Software Engineer III
PTADgSkn,132730.47,6/28/2013,58,Female,3,9315.953,31325.68270072992,19686.73832408759,153685.36737664236,None,Married,11,37,IT,IT Manager
pqsbUUWD,121181.49,5/2/2023,55,Male,3,6171.850999999999,28600.011021897804,17973.780122627733,137979.57189927006,Life,Married,1,34,Sales,National Sales Manager
mGfAsXmi,107060.42,9/26/2009,46,Other,3,7498.957999999999,25267.301070559603,15879.326528467152,123947.35254209244,Medical,Married,14,25,Human Resources,Senior HR
hNCgIhwx,120250.7,3/9/2023,52,Other,1,11446.93,28380.335523114347,17835.72426277372,142242.2412603406,None,Widowed,1,31,Sales,National Sales Manager
cUDBuZwB,75326.22,9/24/2019,32,Other,3,10460.378,17777.721021897807,11172.472922627736,92391.84609927006,Both,Married,4,11,Marketing,Senior Marketing Executive
gjkPyIMR,81076.63,4/12/2020,41,Other,2,5530.337,19134.873746958638,12025.380449635037,93716.4603,Medical,Married,4,20,Sales,Senior Executive
glMcgeiH,149463.26,9/2/1993,52,Male,1,3154.673999999999,35274.783990267635,22168.56527883212,165724.1527114355,Medical,Married,30,31,Sales,Sales Director
GCMfQoad,110974.43,5/5/2011,56,Other,2,12204.557,26191.045523114342,16459.85706277372,132910.17546034063,Medical,Married,13,35,IT,IT Manager
ePEvIwHV,106738.62,1/19/2017,35,Male,3,10325.138,25191.353138686125,15831.596776642336,126423.5143620438,Medical,Married,7,14,Finance,Regional Account Head
lsHzuZmI,126067.77,4/26/1999,55,Male,1,11628.222999999998,29753.22066,18698.518878832117,148750.69477810222,Both,Divorced,25,34,Finance,Account Director
yFPRnsmW,58823.77,1/10/2022,28,Female,4,4165.623,13882.982214111917,8724.810266,68147.56494841848,Both,Married,2,7,Marketing,Marketing Associate
Ccmhnilx,72273.77,11/18/2017,31,Other,1,10031.623,17057.313114355227,10719.729973722628,88642.97614063261,Life,Married,6,10,Human Resources,HR Executive
lfjppdSh,131288.62,4/6/2018,48,Male,3,11675.138,30985.39206812651,19472.88144817518,154476.26861995133,Life,Married,6,27,Human Resources,Recruitment Manager
rEDQHZmI,63877.03,12/18/2020,25,Female,0,10317.297,15075.600754257905,9474.315690510948,79795.61206374694,Both,Single,3,4,Marketing,Marketing Representative
MbzrRptQ,92030.97,12/21/2013,32,Male,2,7641.903,21720.204598540146,13650.140951824818,107742.93664671532,None,Married,10,11,IT,QA Lead
oGoOSWoJ,106496.1,3/4/2015,41,Other,3,9710.39,25134.11605839416,15795.62593,125544.98013138684,Life,Married,9,20,Finance,Senior Account Executive
EBHEiGih,124864.72,8/23/2012,49,Male,3,6635.527999999998,29469.289148418484,18520.08109781022,142449.45605060828,None,Divorced,11,28,Sales,National Sales Manager
WByWjlRf,75625.06,12/3/2013,37,Female,1,8102.494,17848.250170316296,11216.797220437957,90359.00694987836,Life,Married,10,16,Sales,Senior Executive
afLAgpsY,18484.42,3/19/2023,21,Other,0,7823.558,4362.503017031629,2741.630762043795,27928.850254987832,Both,Single,1,0,Marketing,Marketing Development Representative
gwkexhGu,45368.09,4/17/2020,27,Female,1,5829.191,10707.310778588804,6729.048093430656,55175.54368515815,None,Married,4,6,IT,QA Engineer II
NmJBlysm,53483.12,11/13/2017,30,Other,4,6841.687999999999,12622.536836982965,7932.678820437955,65014.666016545016,Life,Married,6,9,Sales,Sales Representative
oRdsqScj,80928.19,8/1/2014,32,Other,1,8382.181,19099.84046,12003.363655474452,96406.84780681264,Both,Married,9,11,Marketing,Senior Marketing Executive
SbURjPQR,143224.53,8/18/1998,58,Male,2,9798.547,33802.38299270072,21243.229559124084,165582.23043357662,Medical,Married,25,37,Sales,Sales Director
RcVZmZiE,128950.24,6/24/1999,47,Male,2,7614.975999999999,30433.51163017031,19126.05019562044,147872.6774345499,None,Married,25,26,Marketing,National Marketing Manager
JiEGBgkg,93895.1,11/6/2002,44,Female,2,5807.49,22160.15742092457,13926.630890510947,107936.11653041364,Life,Divorced,21,23,Finance,Senior Account Executive
xEWtbmyQ,82401.81,10/7/2012,35,Other,2,6804.819,19447.629124087583,12221.932694890507,96432.32542919708,Medical,Married,11,14,IT,Software Engineer III
ZqXhKKOx,39280.39,7/11/2021,24,Male,1,8903.961,9270.554331,5826.113319708028,51628.79201119221,Medical,Married,3,3,Marketing,Marketing Intern
IGICdVCl,63990.01,10/10/2023,26,Male,2,9750.999,15102.265133819948,9491.073016058392,79352.20111776156,Both,Married,0,5,Marketing,Marketing Associate
KaMphkeR,72984.41,1/22/2019,27,Other,0,8982.559,17225.031070559606,10825.132928467152,88366.86714209245,Medical,Single,5,6,Human Resources,HR Executive
nxkBLqXx,29403.81,10/9/2021,24,Male,0,5801.619,6939.585328467152,4361.207439416058,37783.80689,Medical,Single,2,3,Finance,Account Representative
IMMvBzzy,102372.4,10/24/2016,44,Female,2,13143.76,24160.88272506082,15183.993927007295,124493.04879805353,Life,Divorced,7,23,IT,QA Lead
KmyHlhlu,79130.81,1/28/2010,39,Female,2,5720.919,18675.641289537707,11736.774154744526,91790.59613,Life,Married,14,18,Finance,Regional Account Head
fyxDOTxX,97741.16,3/5/2015,36,Other,3,3611.884,23067.865012165443,14497.083001459854,109923.82601070558,Both,Divorced,9,15,Sales,Regional Sales Manager
NunuQLgP,138895.04,1/17/2020,58,Female,2,6336.495999999999,32780.581216545004,20601.07455,157411.04267055963,Life,Widowed,4,37,IT,Technical Lead
yxrocEhi,58726.59,5/24/2014,31,Male,2,5445.341,13860.046788321164,8710.396415,69321.58137372263,None,Married,10,10,IT,Software Engineer II
NLNQYuzt,141655.48,6/12/2016,57,Other,1,5588.4519999999975,33432.07192214111,21010.50623065693,159665.49769148417,Medical,Married,8,36,Sales,National Sales Manager
pUJXkuef,72270.04,10/25/2018,26,Other,3,10365.996,17056.43279805352,10719.17673576642,88973.29206228709,Both,Married,5,5,Finance,Account Associate
QTqZjvWv,88899.2,4/5/2008,38,Male,1,8488.08,20981.07639902676,13185.63316788321,105182.72323114357,Both,Married,16,17,IT,Software Engineer III
grUEKeJr,106539.06,7/27/2021,40,Other,2,10390.094,25144.255036496343,15801.997804379562,126271.41123211678,Medical,Married,2,19,Human Resources,Senior HR
qbXLDzks,132215.03,1/19/2019,48,Female,3,8259.497,31204.03384428223,19610.28766131387,152068.27318296838,Life,Married,5,27,Marketing,National Marketing Manager
SJzKWusn,109636.89,3/4/2014,34,Other,4,8590.311,25875.373065693424,16261.47156788321,127841.1024978102,Life,Married,10,13,Finance,Regional Account Head
fiqAEneO,139828.38,2/5/1992,59,Other,4,4631.161999999998,33000.85854014598,20739.50862481752,156720.89191532848,None,Married,32,38,Sales,Sales Director
GHcyMMtu,85757.06,12/1/2020,32,Female,3,4894.294,20239.50078,12719.587293430655,98171.26748515814,Life,Married,3,11,Human Resources,ERP Head
OXVwUlRT,103282.18,8/12/2020,37,Male,4,9652.782,24375.599659367388,15318.933559124083,121991.6281002433,Medical,Married,3,16,IT,Software Engineer III
YaAoSato,110479.89,5/8/2015,55,Female,4,12969.011,26074.329270072983,16386.506312408757,133136.72395766425,Both,Married,9,34,Finance,Account Director
eXaPlmNb,51665.63,6/21/2017,31,Male,4,5236.437,12193.59150851581,7663.106581021897,61432.55193,Medical,Married,7,10,Human Resources,HR Associate
wnhGBecZ,78483.06,10/23/2020,37,Other,1,10114.694,18522.765985401453,11640.699118248172,95479.82086715328,Medical,Married,3,16,Marketing,Senior Marketing Executive
sdAYGyYL,71770.4,4/14/2018,29,Female,0,7640.96,16938.512895377124,10645.069547445251,85704.80334793187,Both,Single,6,8,Human Resources,HR Associate
jfMjpYjD,125284.21,4/15/2011,53,Female,1,8576.578999999998,29568.292871046226,18582.300344525545,144846.78152652067,Life,Married,13,32,Sales,National Sales Manager
EpnrLdzT,15589.77,8/3/2021,24,Female,3,6908.023,3679.3374452554735,2312.292893430657,23864.837551824818,Life,Married,2,3,Marketing,Marketing Intern
mHmPWpvq,48988.92,12/15/2016,31,Other,2,6275.108,11561.861897810217,7266.093827737225,59559.79607007298,Both,Married,7,10,IT,Software Engineer II
sYyPVbxW,90200.18,9/27/2017,37,Female,3,4963.982,21288.120340632595,13378.59604087591,103073.68629975668,None,Married,6,16,Sales,Senior Executive
TanyFCQF,77083.39,9/21/2020,42,Other,1,9490.661,18192.43024,11433.098429197078,93333.38281411192,Medical,Married,3,21,Human Resources,Senior HR
ronkIuFH,52182.13,5/6/2020,26,Female,0,5979.787,12315.49054,7739.714464233575,62737.69307104623,None,Single,4,5,Sales,Sales Executive
HYhYbAHp,128035.16,12/15/1997,58,Other,1,8940.483999999999,30217.54384428223,18990.324461313867,148202.86338296835,Life,Married,26,37,Sales,Sales Director
fnbAzsoh,138863.88,10/7/2022,51,Other,4,8398.612,32773.227153284664,20596.45285839416,159439.26629489052,None,Married,1,30,IT,Technical Lead
SmGdLVEV,142193.06,4/5/1997,48,Male,2,3987.694,33558.94603406325,21090.240724087587,158649.45930997567,None,Married,27,27,IT,IT Manager
DLlxMKyS,86998.47,5/10/2024,37,Female,4,6809.153,20532.48562043795,12903.714674452553,101436.3939459854,Life,Married,0,16,IT,QA Lead
yfkIFSfW,103291.54,5/16/2016,39,Female,3,12575.846,24377.80871046228,15320.321845255472,124924.8728652068,Medical,Married,8,18,Finance,Senior Account Executive
JhBENQhs,75833.87,4/6/2021,44,Female,1,6242.613,17897.531362530408,11247.768163503648,88726.24619902676,None,Married,3,23,Finance,Regional Account Head
XTUEjixV,26475.19,8/1/2023,22,Male,0,6214.481,6248.402506082723,3926.831100729926,35011.242405352794,None,Single,0,1,Marketing,Marketing Intern
uBaSyUHA,56552.1,12/4/2016,31,Male,2,5200.79,13346.845985401456,8387.873518248174,66711.86246715327,Medical,Divorced,7,10,Sales,Sales Representative
yiMfzwVK,78600.38,2/15/2016,33,Female,4,5193.962,18550.454647201943,11658.100157664234,90686.69648953772,None,Married,8,12,Marketing,Regional Marketing Manager
MzAEntay,111549,5/6/2012,48,Female,2,8401.099999999999,26326.64963503649,16545.077956204375,129731.67167883214,Both,Married,12,27,IT,Technical Lead
TnJczsDk,131917.01,10/22/2006,56,Male,4,7700.298999999999,31133.69822384428,19566.084986861315,151184.92223698297,Life,Married,17,35,Sales,Sales Director
fKBjcyaT,131721.07,1/26/1996,59,Male,2,10193.892999999998,31087.45447688564,19537.02293722628,153465.39453965938,Medical,Married,28,38,IT,IT Manager
NWOzswwb,118504.28,6/3/2012,52,Female,2,12770.572,27968.163406326024,17576.693208759123,141666.32219756691,Medical,Divorced,12,31,Sales,National Sales Manager
IujAyHmD,107883.47,12/5/2015,38,Female,1,13309.652999999998,25461.54888077858,16001.402265693428,130653.26961508514,None,Married,8,17,Sales,Regional Sales Manager
zkdmWshW,59755.42,5/7/2024,25,Other,3,4789.458,14102.860681265203,8862.993681751823,69784.74499951338,None,Married,0,4,Finance,Account Executive
RGNVjzdV,96297.91,7/10/2019,37,Female,4,6402.208999999999,22727.243965936734,14283.018475912408,111144.34449002432,Both,Married,5,16,Finance,Senior Account Executive
gJWnvXge,134040.59,6/17/1992,53,Male,2,6758.940999999999,31634.88377128953,19881.056852554742,152553.35791873478,None,Married,32,32,Sales,National Sales Manager
MEImJTyy,115745.7,1/4/2008,59,Male,1,12179.43,27317.11167883211,17167.537401459853,138074.70427737225,None,Married,16,38,IT,IT Manager
DuuDywex,141691.22,8/5/2005,56,Other,2,10481.878,33440.50690997566,21015.80722919708,164597.79768077857,Life,Divorced,18,35,Sales,National Sales Manager
PEDqZpgw,54175.85,6/17/2022,27,Male,0,7055.415,12786.027858880774,8035.425343065693,65981.86751581507,Both,Single,2,6,Sales,Sales Executive
GmnVOVvt,144045.82,10/1/2010,48,Male,1,8107.417999999998,33996.215425790746,21365.04425109489,164784.40917469587,Both,Married,13,27,Sales,National Sales Manager
LXCGotqM,135591.51,5/23/2006,50,Other,2,8024.848999999998,32000.91598540145,20111.091118248176,155506.18386715328,Both,Married,18,29,Human Resources,HR Director
MMNmxtvc,78488.42,8/25/2023,41,Other,3,6667.157999999999,18524.030997566904,11641.494119708028,92038.11487785888,Medical,Married,0,20,IT,QA Lead
MryGzhie,78099.11,10/24/2007,43,Other,1,6589.089,18432.150048661795,11583.751205839417,91536.59784282238,Medical,Divorced,16,22,Marketing,Regional Marketing Manager
ORQhqMAw,115419.55,4/4/1999,56,Female,1,8498.044999999998,27240.137104622863,17119.16245255474,134038.56965206814,Life,Married,25,35,Sales,Sales Director
KkNViddv,106518.53,5/24/2012,37,Other,4,13061.147,25139.40975669099,15798.952770802918,128920.13398588808,Life,Married,12,16,IT,Software Engineer III
hkOlewrb,30018.83,8/26/2023,21,Male,0,8448.117,7084.736034063259,4452.427924087591,41099.25510997567,Life,Single,0,0,Finance,Account Representative
mXfKkMQH,75840.14,7/24/2018,37,Female,4,5979.986,17899.011143552307,11248.698137226276,88470.43900632602,None,Married,5,16,Sales,Senior Executive
XgHSjMNO,87808.13,9/23/2014,32,Male,4,7500.187,20723.57326034063,13023.804391240876,103008.08586909976,Both,Married,9,11,Human Resources,ERP Head
ZeRVVRxK,144075.94,5/9/2008,59,Male,4,5599.405999999999,34003.32403892943,21369.51168467153,162309.15835425787,None,Married,16,38,IT,IT Manager
WuKUlrJm,118857.79,12/13/2008,54,Female,2,8361.221,28051.595206812643,17629.126224817515,137641.47998199513,Both,Widowed,15,33,Human Resources,Recruitment Manager
uHVduTUp,113911.42,4/20/1993,59,Other,2,8949.858,26884.20374695863,16895.474849635033,132850.0068973236,Both,Married,31,38,Finance,National Account Head
mzlbLSwV,115435.87,1/17/1994,53,Other,2,8468.413,27243.98878345498,17121.583054014598,134026.6887294404,None,Widowed,30,32,Finance,National Account Head
pzIsWAEY,107664.08,9/12/2018,38,Female,3,11177.592,25409.77071,15968.862084671531,128282.58062092456,Both,Married,5,17,Human Resources,ERP Head
ZdEskJNj,23721.13,6/4/2022,24,Male,3,6727.887,5598.4175425790745,3518.345705109489,32529.088837469582,Medical,Married,2,3,Finance,Accounts Intern
vXcOvRAo,119540,12/18/1996,55,Female,3,8308,28212.603406326027,17730.312408759124,138330.29099756692,Both,Married,27,34,IT,Technical Lead
kWFjCILx,115939.03,8/25/2018,52,Male,1,7025.097,27362.739440389287,17196.212332846713,133130.65410754256,Both,Widowed,5,31,Sales,Sales Director
vfKHCqsl,93662.01,12/8/2013,39,Female,4,5365.799000000001,22105.145912408752,13892.058709489049,107240.8962029197,Medical,Married,10,18,Sales,Senior Executive
iFiIbnLX,47396,5/3/2017,28,Male,0,5556.4,11185.91727493917,7029.8300729927005,57108.48720194647,Both,Single,7,7,Sales,Sales Executive
YjBpaFzk,95653.44,2/5/2020,37,Female,2,4412.655999999999,22575.142773722622,14187.429932846711,108453.8088408759,None,Divorced,4,16,Sales,Regional Sales Manager
ZcmDUNib,142508.73,5/14/1987,60,Male,1,9840.127,33633.44722627736,21137.061267153284,164845.24295912412,None,Widowed,37,39,Marketing,National Marketing Manager
bSnNDvQd,74289.84,8/25/2017,28,Other,0,5617.016,17533.125255474446,11018.755830656932,86421.22542481752,Medical,Single,6,7,Human Resources,HR Executive
dxRhPOyc,47347.13,1/8/2024,29,Male,1,7547.287,11174.38347931873,7022.581617518247,59046.21886180048,Medical,Married,0,8,Marketing,Marketing Associate
lRbanOHQ,96268.16,11/25/2021,38,Other,3,4674.183999999999,22720.222676399026,14278.605921167882,109383.96075523114,Life,Married,2,17,Marketing,Regional Marketing Manager
lkuRViUx,144100.91,9/22/1992,52,Female,1,5342.909,34009.21720194646,21373.21526423357,162079.8209377129,Medical,Married,31,31,Human Resources,HR Director
cfwStghG,85549.1,3/7/2023,42,Male,4,8473.089999999998,20190.42019,12688.742423357664,101523.86777128954,None,Married,1,21,Marketing,Regional Marketing Manager
PvPOvSQx,87427.48,4/6/2017,38,Male,1,9207.252,20633.736155717757,12967.345938686129,104301.1222170316,Medical,Married,7,17,Finance,Regional Account Head
iCGfJmwy,85935.78,11/1/2014,42,Female,2,6554.4220000000005,20281.68044,12746.095252554744,100025.78718540144,Both,Divorced,9,21,Human Resources,ERP Head
QoSAJnYA,50572.18,2/4/2021,29,Female,2,6192.781999999999,11935.526666666665,7500.9248,61199.56386666666,None,Married,3,8,Human Resources,HR Executive
lQimssKH,143442.44,4/21/2017,52,Female,2,9260.756,33853.81187347931,21275.55022481752,165281.4576486618,Life,Widowed,7,31,Sales,National Sales Manager
RaalpzGF,139436.7,4/24/2004,50,Female,1,5910.329999999998,32908.41824817518,20681.414189781022,157574.03405839414,Both,Married,20,29,IT,IT Manager
NUGeDpTB,85354.08,3/12/2009,44,Male,3,7308.591999999999,20144.39357664233,12659.81682919708,100147.24874744526,Both,Divorced,15,23,Finance,Senior Account Executive
Zberbpxs,91380.67,6/11/2014,43,Female,4,7459.932999999999,21566.727469586367,13553.687696350364,106853.6428,Life,Married,10,22,Human Resources,ERP Head
vyLKtTeW,113459.83,10/3/2018,54,Female,2,8596.017,26777.62411192213,16828.494493430655,132004.9766184915,Both,Married,5,33,Sales,National Sales Manager
PDBmQPTk,138874.25,10/25/1996,50,Other,3,9428.575,32775.67457420924,20597.990948905102,160480.50862530415,Life,Divorced,27,29,Human Resources,HR Director
ApToIydk,109037.69,11/1/2014,43,Male,2,12985.231,25733.95603406325,16172.597524087589,131584.27950997566,Life,Divorced,9,22,IT,QA Lead
xVbYvFhr,86862.17,12/11/2021,34,Female,3,7590.782999999999,20500.317493917268,12883.49849927007,102069.7719946472,Medical,Divorced,2,13,Finance,Regional Account Head
NNHhGipl,96152.48,10/27/2021,34,Female,3,7932.752,22692.921070559605,14261.448128467153,112516.70494209244,None,Married,2,13,Human Resources,Senior HR
UZkZWzHa,124895.19,4/9/2023,52,Female,2,5832.481,29476.480364963496,18524.600443795614,141679.5509211679,Life,Married,1,31,Marketing,National Marketing Manager
gVaHlhEU,99821.96,7/17/2014,44,Female,1,7415.803999999998,23558.95406326033,14805.70968759124,115991.0083756691,Life,Divorced,10,23,IT,QA Lead
UrgbRbKD,101661.61,1/7/2020,40,Other,4,10846.839,23993.12936739659,15078.56872408759,121423.0096,Medical,Married,4,19,Sales,Senior Executive
vmDJWDKQ,86981.29,11/16/2020,37,Female,4,8641.871000000001,20528.43097,12901.166516788318,103250.42545644769,None,Married,3,16,Finance,Senior Account Executive
UjyMkSmY,51703.19,3/13/2015,30,Other,4,7770.681,12202.456034063258,7668.677524087591,64007.64950997567,Medical,Married,9,9,Human Resources,HR Associate
YSdFDDHG,144794.46,4/19/2011,48,Other,2,9825.554,34172.90175182481,21476.083410218973,167316.83234160583,None,Widowed,13,27,Sales,National Sales Manager
qZMqajDS,94740.78,11/19/2016,35,Other,4,3678.922000000001,22359.74613138685,14052.063135766422,106727.38499562044,Both,Married,7,14,Sales,Regional Sales Manager
BLcNZWPX,41686.86,8/9/2023,21,Male,0,8550.313999999998,9838.504671532844,6183.043760583941,53892.63491,Medical,Single,0,0,Sales,Business Development Representative
kxrayTgw,109083.76,12/26/2001,44,Male,1,8072.624,25744.82900243308,16179.43068029197,126721.7823221411,None,Married,22,23,Human Resources,Senior HR
dPPyvxPG,127167.74,2/15/2012,56,Other,1,6398.225999999999,30012.824282238435,18861.66771386861,144717.12256836984,None,Married,12,35,Finance,Account Director
cqtLsnpW,79921.8,5/26/2012,34,Other,3,9380.82,18862.322627737223,11854.094715328469,96310.84791240876,Both,Married,12,13,Finance,Senior Account Executive
zFLoyxyq,24964.27,9/5/2022,22,Male,0,7350.573,5891.810681265205,3702.729681751825,34503.92399951338,None,Single,1,1,Finance,Accounts Intern
keloVCII,99301.39,4/6/2011,34,Other,3,5427.860999999999,23436.09447688564,14728.498137226276,113436.84733965938,None,Married,13,13,Human Resources,ERP Head
ecXWiUeA,98604.99,7/19/2019,33,Other,4,6438.500999999998,23271.73729927007,14625.207275912408,113690.02102335768,Medical,Married,4,12,Marketing,Senior Marketing Executive
vzdnRehk,77925.42,11/19/2014,39,Other,2,5847.458,18391.15751824817,11557.98930218978,90606.04621605836,Medical,Married,9,18,IT,QA Lead
LDGkSPNu,115837.42,11/10/2007,54,Other,1,8327.258,27338.758491484172,17181.14142,134322.29507250607,Medical,Divorced,16,33,IT,IT Manager
acxFfynC,37810.84,4/9/2022,22,Female,0,8902.916000000001,8923.726228710459,5608.147947445254,50029.33428,None,Single,2,1,IT,QA Engineer I
DNCFrMXg,17418.21,7/24/2023,23,Female,0,6281.179,4110.86708,2583.489249635036,25226.76683065693,None,Single,0,2,IT,Software Engineer I
CUnsGNex,88626.09,4/6/2022,34,Other,2,6440.391,20916.61978102189,13145.125173722625,102837.97560729926,Both,Married,2,13,Sales,Regional Sales Manager
JXXmsgxp,134776.22,9/2/1998,51,Male,1,8144.377999999999,31808.49961070559,19990.16635328467,154738.93125742092,None,Widowed,25,30,Marketing,Marketing Director
JsXNBHYV,43241.29,7/21/2023,22,Male,0,7908.871,10205.36527980535,6413.598633576642,54941.92764622871,Life,Single,0,1,Human Resources,HR Representative
yqUxKxHY,18266.1,7/21/2023,22,Other,0,7490.39,4310.977372262772,2709.249284671532,27358.21808759124,Both,Single,0,1,Finance,Account Representative
zgupqTDm,95548.79,5/14/2022,33,Male,4,6966.121000000001,22550.44435523113,14171.908122627736,110893.4472326034,Both,Married,2,12,IT,QA Lead
pJngPCoo,95241.85,3/11/2018,39,Other,1,5123.814999999999,22478.00352798053,14126.382423357663,108717.28610462288,None,Divorced,6,18,Finance,Regional Account Head
uiWOzaEe,73602.1,1/23/2015,29,Female,0,8644.789999999999,17370.811922141114,10916.749430656935,88700.95249148417,Life,Single,9,8,IT,QA Engineer II
bgbDJNce,73694.82,10/3/2018,31,Male,4,9978.518,17392.694744525543,10930.501769343064,90135.53097518248,Life,Married,5,10,Marketing,Marketing Representative
DQShyPwG,99457.07,6/16/2011,44,Female,1,6875.292999999998,23472.83647201946,14751.588776642337,115053.61069537714,Life,Married,13,23,Human Resources,Senior HR
CiWmMyrF,108912.04,1/27/2021,32,Other,4,9081.796,25704.30141119221,16153.960969343065,127544.17644184914,Medical,Married,3,11,Finance,Senior Account Executive
kTcNjsvX,106090.78,10/2/2011,34,Male,2,13091.922,25038.45659367396,15735.508391240875,128485.65020243308,None,Married,12,13,IT,QA Lead
bEsUhzRO,94341.8,3/27/2012,34,Female,2,4284.82,22265.582968369825,13992.885956204378,106899.31701216544,Life,Married,12,13,Finance,Senior Account Executive
clvMGtSB,82760.59,4/25/2018,41,Male,1,6144.941000000001,19532.304695863742,12275.14736350365,96162.68833236008,Both,Divorced,6,20,Marketing,Regional Marketing Manager
tBXfMFvm,116987.71,3/8/1997,55,Male,2,11936.229,27610.238126520675,17351.75377518248,139182.42335133822,None,Divorced,27,34,Finance,National Account Head
KBcoXjzC,125687.81,12/6/2020,50,Female,4,11258.219,29663.54639902676,18642.16276788321,147967.41263114355,Medical,Married,3,29,Finance,National Account Head
mKQDJOqn,94381.35,6/9/2019,39,Male,4,4473.865,22274.917153284667,13998.75205839416,107131.38009489053,Both,Married,5,18,Human Resources,Senior HR
tzGYvNxT,96675.79,1/6/2016,44,Other,2,4428.421,22816.427323600965,14339.066078832117,109581.57224476885,Both,Divorced,8,23,Sales,Regional Sales Manager
oAmbmpTG,141107.17,12/20/2023,54,Female,1,9265.282999999998,33302.66542579075,20929.180251094887,162745.93817469585,None,Divorced,0,33,Sales,Sales Director
tUEckfrZ,109185.13,6/9/2016,38,Male,3,10710.487,25768.753309002423,16194.465997080291,129469.90431192216,Both,Married,8,17,Human Resources,Senior HR
nBQRJMYh,24680.11,9/16/2022,24,Other,0,5816.989,5824.746156,3660.582738686131,32661.26241703163,None,Single,1,3,Human Resources,HR Representative
bPHwxoRw,65926.35,6/12/2019,28,Other,2,10557.364999999998,15559.26022,9778.273226277372,82264.70199270072,None,Married,5,7,Sales,Sales Representative
siHwHrLM,86009.96,6/15/2005,46,Female,2,6918.003999999999,20299.187639902677,12757.09771678832,100470.05392311436,None,Widowed,19,25,IT,QA Lead
ujihfbmx,83637.45,10/25/2012,38,Female,2,4713.254999999999,19739.25218978101,12405.20426277372,95684.75292700728,Both,Divorced,11,17,Marketing,Senior Marketing Executive
FnzYhGHX,131236.62,11/2/2023,56,Other,2,6490.338,30973.119562043787,19465.16874744525,149234.90881459852,Both,Widowed,0,35,Marketing,National Marketing Manager
VwGjeqwc,114440.05,4/13/2020,52,Other,2,6870.994999999999,27008.96557177615,16973.881868613134,131346.1287,Life,Divorced,4,31,Finance,National Account Head
wKrErzgh,97827.8,8/5/2011,42,Male,2,5402.219999999999,23088.312895377123,14509.933547445256,111808.39934793187,Both,Married,12,21,Marketing,Senior Marketing Executive
NovjXhoD,115560.62,4/13/2001,53,Male,3,6976.938,27273.430997566906,17140.086119708027,132670.90287785887,Medical,Married,23,32,IT,IT Manager
uqmOHlRF,126542.58,1/28/2011,50,Male,4,6726.741999999998,29865.28044,18768.94325255474,144365.65918540143,Medical,Married,13,29,Finance,Account Director
GQScuakv,119647.92,6/17/2003,57,Other,4,9982.208,28238.073576642328,17746.319229197077,140121.88234744524,Both,Married,21,36,Human Resources,Recruitment Manager
NQffwmZd,102589.48,12/12/2006,46,Female,1,11895.052,24212.11571776155,15216.191486131383,123480.45623163016,Life,Divorced,17,25,IT,Software Engineer III
VrjbCynN,106870.01,8/14/2011,35,Male,3,12952.999,25222.36245742092,15851.08469489051,129194.2867625304,Medical,Married,12,14,Sales,Regional Sales Manager
sifskIIT,149186.97,1/17/2007,59,Other,3,6572.303,35209.57686131386,22127.585623357663,168841.2642379562,None,Married,17,38,Human Resources,Recruitment Manager
LBUDRsMH,105770.23,7/21/2010,43,Other,2,11253.977,24962.80367396593,15687.96404087591,126299.0466,Medical,Married,13,22,Marketing,Regional Marketing Manager
bBtWKmsU,98220.44,10/5/2022,32,Other,1,6411.956,23180.97975669099,14568.17037080292,113245.20538588808,None,Married,1,11,Finance,Regional Account Head
